#1.2									
									
Genes	Genes	D5	D0	D5	D5	D5	D5	D0	D5
ENSMUST00000226654.1	ENSMUST00000226654.1	0.529388	0.33298	0.214659	0.287817	0.193169	5.77424	0.196996	11.6284
ENSMUST00000132233.1	ENSMUST00000132233.1	10.4532	4.96005	11.937	8.21953	9.93833	4.62742	3.5869	5.12222
ENSMUST00000070731.10	ENSMUST00000070731.10	31.2113	23.9087	29.4793	20.348	25.7271	4.75595	20.1066	3.8794
ENSMUST00000124968.7	ENSMUST00000124968.7	34.1119	0.0093643	96.2428	163.583	151	0.00610587	28.2515	14.2186
ENSMUST00000218149.1	ENSMUST00000218149.1	8.7745	5.02133	9.13782	19.0039	12.7286	6.46174	7.19669	15.1387
ENSMUST00000160048.7	ENSMUST00000160048.7	2.36841	0.326089	1.51889	2.25665	2.3913	0.291669	0.781255	0.456383
ENSMUST00000130130.7	ENSMUST00000130130.7	0.281293	1.2648	3.29937	3.97056	2.38639	1.60302	0.888256	8.35086
ENSMUST00000132561.7	ENSMUST00000132561.7	0.845224	1.74946	3.42965	3.16397	1.8714	0.483317	3.06625	5.78146
ENSMUST00000140438.1	ENSMUST00000140438.1	9.69988	6.44	12.6119	6.98251	8.87951	0.800597	5.50951	1.22283
ENSMUST00000136415.8	ENSMUST00000136415.8	1.65573	0.337809	3.02588	1.51815	1.67549	0.119717	0.667187	0.479869
ENSMUST00000118808.7	ENSMUST00000118808.7	51.016	41.3303	58.8838	23.9398	41.9828	2.73939	24.9531	3.11515
ENSMUST00000118515.7	ENSMUST00000118515.7	26.6747	15.7408	40.6797	6.03733	12.1467	1.1157	9.44865	2.52425
ENSMUST00000218076.1	ENSMUST00000218076.1	2.29245	2.07395	6.61075	5.69154	3.19605	0.156927	2.70215	1.60589
ENSMUST00000027302.13	ENSMUST00000027302.13	16.9976	1.26684	29.9185	0.0757582	0.0338808	0.0622678	1.35444	5.51463
ENSMUST00000156096.7	ENSMUST00000156096.7	4.8528	0.875407	4.93142	4.69273	5.0723	0.746848	0.817198	3.94313
ENSMUST00000140901.7	ENSMUST00000140901.7	18.52	8.54307	16.986	9.75098	14.9689	2.86087	6.07072	4.43132
ENSMUST00000227076.1	ENSMUST00000227076.1	1.54412	0.305636	3.14807	6.034	7.52154	0.406938	0.121185	1.39741
ENSMUST00000029575.11	ENSMUST00000029575.11	6.54774	1.02095	4.88257	2.56756	7.88981	0.39259	1.24984	2.74449
ENSMUST00000136970.7	ENSMUST00000136970.7	7.96043	0.566399	9.61118	25.4148	28.5636	2.25867	1.42878	3.6089
ENSMUST00000081848.12	ENSMUST00000081848.12	99.095	20.6756	83.1488	195.422	314.546	115.607	15.4776	22.1538
ENSMUST00000034085.7	ENSMUST00000034085.7	19.3354	16.1814	13.4331	13.3585	14.4933	1.34998	15.0345	3.78872
ENSMUST00000133553.7	ENSMUST00000133553.7	11.756	7.21027	15.717	22.9111	22.8687	13.5278	10.978	17.2026
ENSMUST00000027053.7	ENSMUST00000027053.7	26.4631	1.43719	7.55957	4.5279	8.1478	1.58803	1.4096	4.28886
ENSMUST00000161445.7	ENSMUST00000161445.7	15.7544	42.8059	6.72556	5.48304	6.76326	0.409667	43.931	0.860777
ENSMUST00000223854.1	ENSMUST00000223854.1	0.666796	0.566979	0.187505	0.18028	0.163488	0.14789	0.304836	3.92879
ENSMUST00000053856.5	ENSMUST00000053856.5	6.2179	0.849565	2.13996	1.24528	2.15488	0.0377022	0.589098	0.120988
ENSMUST00000076807.6	ENSMUST00000076807.6	59.2217	1.14196	6.51522	2.50852	7.30138	0.521645	1.17181	0.246182
ENSMUST00000127896.7	ENSMUST00000127896.7	6.5538	3.67786	4.09899	3.39179	2.17868	0.147947	2.26802	0.481189
ENSMUST00000045664.6	ENSMUST00000045664.6	4.4714	1.64378	1.68815	1.35903	1.40947	0.233363	1.82999	0.560797
ENSMUST00000033941.6	ENSMUST00000033941.6	140.575	2.9581	73.7249	60.1949	79.6559	3.99815	2.47605	40.8543
ENSMUST00000139472.1	ENSMUST00000139472.1	2.36499	1.78976	1.825	1.83549	2.08038	0.0833391	1.04839	1.12936
ENSMUST00000115360.7	ENSMUST00000115360.7	2.16697	2.20245	2.41802	2.23959	1.227	0.164034	2.57093	1.14724
ENSMUST00000052529.3	ENSMUST00000052529.3	20.7979	3.01236	4.27177	2.82942	3.62995	1.11874	1.76691	4.16034
ENSMUST00000115844.2	ENSMUST00000115844.2	31.9353	8.93314	16.2705	10.875	16.3458	3.7578	7.18559	0.027177
ENSMUST00000023189.14	ENSMUST00000023189.14	9.95131	4.96545	7.99194	11.5187	13.4287	0.0811153	4.34892	4.53103
ENSMUST00000059582.8	ENSMUST00000059582.8	7.51242	2.98815	9.39795	4.36173	9.47886	1.10826	2.58296	2.50674
ENSMUST00000114071.7	ENSMUST00000114071.7	127.579	12.4561	80.8177	72.6211	74.2419	7.81512	7.025	12.1535
ENSMUST00000137435.1	ENSMUST00000137435.1	12.1112	2.10337	7.54222	11.0838	6.25759	1.5872	0.580078	0.799978
ENSMUST00000034896.12	ENSMUST00000034896.12	6.70848	7.19191	6.52199	3.76448	4.54138	0.565616	5.84332	2.0437
ENSMUST00000183189.1	ENSMUST00000183189.1	0.099117	0.0869078	0.0380033	0.0514418	0.0578715	0.593852	0.0150543	6.03734
ENSMUST00000106547.1	ENSMUST00000106547.1	0.193951	0.140355	0.809369	3.46987	1.02554	0.321948	0.296171	2.89808
ENSMUST00000147115.7	ENSMUST00000147115.7	5.95577	1.85669	4.9976	6.56223	6.80235	0.00394081	0.770756	0.888129
ENSMUST00000223369.1	ENSMUST00000223369.1	18.9968	3.83703	14.2512	9.12062	11.7093	0.106462	4.11468	4.81403
ENSMUST00000114732.2	ENSMUST00000114732.2	1.53704	0.841499	2.82615	1.02371	1.48119	0.0725431	0.889573	0.141204
ENSMUST00000030771.11	ENSMUST00000030771.11	39.5679	11.6243	20.5926	26.3248	26.001	6.55775	11.779	3.78144
ENSMUST00000051064.8	ENSMUST00000051064.8	10.9822	2.08345	6.3495	15.9233	16.1289	1.07009	2.57674	2.59594
ENSMUST00000022356.11	ENSMUST00000022356.11	5.45803	0.549103	0.874585	8.30E-07	2.63209	5.22E-08	0.482346	1.10E-09
ENSMUST00000229140.1	ENSMUST00000229140.1	2.53885	5.35272	4.13796	5.38699	6.36133	2.84579	5.59292	0.568961
ENSMUST00000134752.7	ENSMUST00000134752.7	1.50771	8.34317	3.81579	5.62354	3.87564	11.2534	18.8924	19.5235
ENSMUST00000036156.5	ENSMUST00000036156.5	13.1251	61.1103	14.3241	13.4491	15.1845	6.43547	45.6015	7.62898
ENSMUST00000155524.1	ENSMUST00000155524.1	9.55857	19.3087	9.63176	32.7588	22.4979	19.3756	16.4228	41.4549
ENSMUST00000140661.1	ENSMUST00000140661.1	2.07924	13.873	3.43845	14.472	8.77143	3.93124	9.84518	4.8289
ENSMUST00000026322.8	ENSMUST00000026322.8	6.69469	2.07289	4.0003	4.8787	4.79894	1.04328	1.18585	1.66957
ENSMUST00000043922.6	ENSMUST00000043922.6	5.4283	3.60415	5.48508	3.95175	2.61232	3.37591	2.24331	5.80049
ENSMUST00000206324.2	ENSMUST00000206324.2	0.446016	0.142975	0.0425928	0.120893	0.141527	0.0639165	0.0920158	2.69203
ENSMUST00000137007.1	ENSMUST00000137007.1	22.8011	3.25017	20.6694	25.0831	25.4953	3.82325	8.77845	11.067
ENSMUST00000024636.14	ENSMUST00000024636.14	13.2341	6.79334	7.19877	13.9343	15.0156	1.7524	7.01986	3.57213
ENSMUST00000161898.1	ENSMUST00000161898.1	2.71714	0.618824	2.07082	1.96878	2.23469	0.191414	0.519317	0.131639
ENSMUST00000217445.1	ENSMUST00000217445.1	1.99274	0.42698	1.25057	4.12194	2.6384	0.393532	0.20886	2.44938
ENSMUST00000146103.1	ENSMUST00000146103.1	7.35445	4.38242	5.77196	19.1392	8.14627	5.88577	9.30497	0.00176852
ENSMUST00000153512.1	ENSMUST00000153512.1	3.53518	4.56592	3.91552	6.3444	7.17207	0.687493	2.06234	0.255026
ENSMUST00000119706.7	ENSMUST00000119706.7	2.39733	0.903898	1.90144	0.475895	0.714135	0.163177	0.652192	0.719825
ENSMUST00000003501.8	ENSMUST00000003501.8	0.0143606	0.021053	0.0270895	0.0372222	0.0465686	0.0989893	0.0610221	2.27805
ENSMUST00000042105.10	ENSMUST00000042105.10	19.2957	19.1678	12.0729	106.478	25.694	2.97624	11.2454	22.8668
ENSMUST00000124212.1	ENSMUST00000124212.1	1.0109	1.38129	0.301591	1.86281	1.33141	14.0979	1.13981	70.9474
ENSMUST00000165117.7	ENSMUST00000165117.7	12.256	0.239583	7.22898	4.54315	6.3256	4.10396	0.168795	4.60742
ENSMUST00000076941.11	ENSMUST00000076941.11	7.9433	1.1717	4.7322	5.93171	6.57017	0.764339	1.13101	0.675485
ENSMUST00000168346.1	ENSMUST00000168346.1	4.29049	0.532362	2.80646	5.47834	5.52801	1.10338	0.261378	5.93584
ENSMUST00000029358.14	ENSMUST00000029358.14	7.23881	1.5105	2.89303	7.11117	6.19067	0.445114	1.11637	2.01777
ENSMUST00000074552.11	ENSMUST00000074552.11	57.0323	13.9275	38.8679	30.1377	42.2437	8.4824	12.4894	8.35526
ENSMUST00000022217.8	ENSMUST00000022217.8	7.40812	1.04054	1.9547	2.12157	1.9521	0.369136	0.973617	1.21728
ENSMUST00000026142.7	ENSMUST00000026142.7	146.996	7.62446	108.858	59.3832	93.8397	3.17521	5.14924	8.90239
ENSMUST00000139375.7	ENSMUST00000139375.7	2.36712	1.28682	10.8343	51.1121	62.5598	7.38217	0.12221	17.9279
ENSMUST00000138918.7	ENSMUST00000138918.7	1.37369	0.959494	0.701487	1.73193	3.38463	1.53E-06	0.412358	12.7229
ENSMUST00000042235.14	ENSMUST00000042235.14	4675.88	338.18	4078.75	2705.92	3003.64	304.738	224.792	1052.13
ENSMUST00000199397.1	ENSMUST00000199397.1	13.0718	3.92897	23.8498	45.9035	45.7368	24.6542	5.45381	22.5842
ENSMUST00000194418.1	ENSMUST00000194418.1	0.534388	0.438186	0.694597	2.34168	2.82956	0.59777	0.188544	1.09279
ENSMUST00000195163.1	ENSMUST00000195163.1	0.562377	0.306311	0.303016	2.46351	2.68349	0.776561	0.076399	0.634574
ENSMUST00000030660.8	ENSMUST00000030660.8	74.0077	27.649	95.3874	72.8738	76.9706	9.2633	24.6436	14.8869
ENSMUST00000097648.5	ENSMUST00000097648.5	1.60512	9.27198	6.44433	0.183251	0.094664	0.0997256	11.6453	0.847773
ENSMUST00000109950.4	ENSMUST00000109950.4	112.393	16.8018	127.195	87.6734	103.544	6.15683	14.7024	17.3226
ENSMUST00000004494.15	ENSMUST00000004494.15	11.8392	5.09776	12.0166	10.806	10.4004	1.56302	3.10548	3.77885
ENSMUST00000065648.14	ENSMUST00000065648.14	47.2754	13.9308	19.5566	17.5681	22.7665	1.34961	14.2028	8.20599
ENSMUST00000176796.7	ENSMUST00000176796.7	6.73927	4.57678	7.0263	3.4376	2.56924	0.0211066	2.95965	0.155927
ENSMUST00000198440.4	ENSMUST00000198440.4	3.70839	0.94123	5.5589	11.371	10.4933	7.39E-09	0.488864	5.91194
ENSMUST00000134277.1	ENSMUST00000134277.1	4.01107	2.00176	1.17461	1.20544	0.652095	0.769366	0.7421	21.9115
ENSMUST00000176878.1	ENSMUST00000176878.1	9.67728	5.87547	6.16921	4.94087	3.16323	0.361479	1.28633	33.358
ENSMUST00000046290.2	ENSMUST00000046290.2	26.4685	0.167835	24.9848	1.67433	1.39866	0.0639119	0.153543	0.694139
ENSMUST00000199186.1	ENSMUST00000199186.1	2.61718	0.468147	1.04153	1.25872	2.48109	0.452882	0.432835	2.13742
ENSMUST00000106769.7	ENSMUST00000106769.7	9.35289	3.22662	5.64688	2.46777	3.2893	0.106474	2.27643	0.533837
ENSMUST00000138062.2	ENSMUST00000138062.2	0.48005	3.6181	0.3177	0.241697	0.674231	1.57155	3.79828	2.57491
ENSMUST00000032839.12	ENSMUST00000032839.12	4.52383	6.32345	4.14448	2.22112	3.13981	0.238284	4.08248	1.04919
ENSMUST00000056246.7	ENSMUST00000056246.7	5.33537	2.51928	5.48693	2.5433	2.66082	0.303851	1.78189	2.02182
ENSMUST00000210142.1	ENSMUST00000210142.1	2.26047	0.947417	0.507607	0.57111	0.226183	0.650876	0.279778	9.14208
ENSMUST00000065600.7	ENSMUST00000065600.7	3.3712	0.827425	1.28324	1.54871	0.644802	0.183601	0.653012	0.852902
ENSMUST00000070132.6	ENSMUST00000070132.6	2.60357	0.211416	5.03437	0.0871299	0.298849	0.0486945	0.253313	1.30117
ENSMUST00000132740.1	ENSMUST00000132740.1	2.15292	0.47555	1.00839	1.24551	1.11632	0.0929815	0.111626	2.33051
ENSMUST00000033673.6	ENSMUST00000033673.6	174.036	22.9109	125.909	78.1803	107.223	9.13268	20.9928	16.597
ENSMUST00000154718.7	ENSMUST00000154718.7	4.07672	2.02199	0.762597	0.852844	2.08388	0.199593	0.684929	0.754179
ENSMUST00000117409.7	ENSMUST00000117409.7	0.709427	0.717098	0.973317	3.77219	3.44326	9.14455	0.294764	10.8572
ENSMUST00000060447.12	ENSMUST00000060447.12	12.1745	14.5311	8.23011	17.4693	13.7492	1.31471	15.4627	4.28758
ENSMUST00000025818.7	ENSMUST00000025818.7	15.2347	1.11731	7.84361	26.6162	17.8602	2.69296	0.266456	1.17272
ENSMUST00000224032.1	ENSMUST00000224032.1	8.25882	0.634589	1.35572	1.37032	1.67374	0.307247	0.142719	1.40664
ENSMUST00000047510.9	ENSMUST00000047510.9	4.29203	16.7301	6.73238	6.12749	8.46555	1.49949	11.5901	1.75971
ENSMUST00000122110.7	ENSMUST00000122110.7	35.6094	2.58296	25.5575	11.1358	20.1214	1.52387	1.89658	2.8596
ENSMUST00000131805.1	ENSMUST00000131805.1	4.85175	2.51364	5.51079	7.96621	8.66752	0.203453	1.89014	0.915302
ENSMUST00000145679.1	ENSMUST00000145679.1	188.221	43.9429	160.274	130.993	142.819	22.6696	57.9728	120.866
ENSMUST00000020012.6	ENSMUST00000020012.6	3.72761	7.20927	2.87436	2.59176	3.08541	1.33778	6.95501	1.54311
ENSMUST00000227153.1	ENSMUST00000227153.1	75.1726	39.1056	34.4997	25.0788	33.1327	2.54305	45.6227	11.2793
ENSMUST00000020999.6	ENSMUST00000020999.6	7.71724	5.11097	2.24822	3.58563	4.47551	0.190207	2.96607	0.278938
ENSMUST00000219895.1	ENSMUST00000219895.1	2.49452	3.53993	3.41149	7.03402	6.68883	1.34051	4.00392	1.65118
ENSMUST00000055935.10	ENSMUST00000055935.10	11.0635	0.105146	1.5788	1.63864	2.81396	0.279348	0.033377	0.221236
ENSMUST00000027394.11	ENSMUST00000027394.11	4.53261	2.09286	4.2836	1.72838	4.80985	0.516669	0.921099	2.12109
ENSMUST00000171165.7	ENSMUST00000171165.7	2.5681	2.18686	1.46866	0.670445	0.832799	0.122084	2.47844	0.32352
ENSMUST00000178627.7	ENSMUST00000178627.7	34.4762	18.6769	26.183	23.2677	25.7157	7.69963	21.3238	17.4586
ENSMUST00000188570.1	ENSMUST00000188570.1	22.7158	18.8103	24.1432	21.9248	24.6608	1.85206	18.9221	2.5774
ENSMUST00000108583.8	ENSMUST00000108583.8	7.61802	3.30315	18.0014	16.9293	15.6957	12.6393	2.93452	14.8111
ENSMUST00000189068.6	ENSMUST00000189068.6	23.1441	13.6113	32.5453	25.2569	32.9963	5.70534	4.78409	8.3385
ENSMUST00000023248.12	ENSMUST00000023248.12	162.382	145.224	397.808	231.541	333.052	1.10312	102.065	26.0058
ENSMUST00000143998.7	ENSMUST00000143998.7	4.47981	0.38991	1.24742	1.00544	1.55348	0.440064	0.34185	0.200324
ENSMUST00000102969.5	ENSMUST00000102969.5	3.33653	0.421189	2.43569	2.08521	2.25631	1.65807	0.423487	1.48867
ENSMUST00000034296.14	ENSMUST00000034296.14	28.2669	5.53235	29.2019	40.8241	40.2967	5.98665	3.63796	5.30424
ENSMUST00000131109.7	ENSMUST00000131109.7	0.672667	2.86437	1.06593	0.471219	0.648624	1.63743	1.86235	2.32583
ENSMUST00000115860.7	ENSMUST00000115860.7	3.06E-05	0.00577594	15.3689	12.5633	11.1819	1.21111	3.98589	1.70786
ENSMUST00000224549.1	ENSMUST00000224549.1	4.33871	2.57123	1.33684	0.196387	1.12735	0.0737546	1.95515	0.407126
ENSMUST00000209296.2	ENSMUST00000209296.2	0.211915	0.152331	0.170909	0.264904	0.224106	0.158003	0.119544	5.98811
ENSMUST00000095914.6	ENSMUST00000095914.6	4.4628	6.56185	4.1577	0.631018	0.470339	0.503505	6.84591	2.34703
ENSMUST00000003044.13	ENSMUST00000003044.13	5.263	4.01565	4.06096	3.70427	3.34712	0.289308	3.15818	1.06123
ENSMUST00000126243.8	ENSMUST00000126243.8	3.39219	2.25779	4.85536	10.4445	8.77947	6.05061	1.34309	4.63316
ENSMUST00000215075.1	ENSMUST00000215075.1	0.262213	0.249308	0.111064	0.435721	0.524989	1.27028	0.136055	3.88683
ENSMUST00000095145.11	ENSMUST00000095145.11	1.20564	0.00862871	1.12508	2.98378	3.73156	1.4022	0.247798	1.1915
ENSMUST00000123890.1	ENSMUST00000123890.1	1.28879	1.83785	2.30016	4.71674	4.30822	0.216725	0.187254	2.04473
ENSMUST00000043338.9	ENSMUST00000043338.9	16.4801	6.05927	12.3133	12.2034	7.90708	0.686674	5.0614	1.67265
ENSMUST00000211240.1	ENSMUST00000211240.1	2.39477	8.33472	4.52375	2.2779	3.40827	0.298691	12.76	3.3157
ENSMUST00000034239.8	ENSMUST00000034239.8	6.90581	3.32026	7.22772	7.73684	7.7192	2.0219	1.81104	3.84747
ENSMUST00000070816.8	ENSMUST00000070816.8	3.69936	0.159346	2.00728	7.55022	11.293	0.254171	0.106153	0.801726
ENSMUST00000026479.10	ENSMUST00000026479.10	104.78	60.8338	75.102	100.713	98.04	9.31633	49.1635	18.9481
ENSMUST00000155256.7	ENSMUST00000155256.7	7.08743	2.18057	1.26247	0.37388	0.515913	0.438185	0.760152	1.7107
ENSMUST00000025856.16	ENSMUST00000025856.16	16.8026	4.40775	3.97423	2.40912	3.97274	0.651267	2.54811	0.37408
ENSMUST00000177294.1	ENSMUST00000177294.1	8.13553	9.06376	23.0339	36.0356	31.4302	7.14698	5.25893	8.61564
ENSMUST00000181651.2	ENSMUST00000181651.2	0.93818	0.614837	3.81683	3.99992	1.60509	0.793597	0.457986	0.569459
ENSMUST00000179762.7	ENSMUST00000179762.7	18.2676	61.2808	21.9397	21.2488	56.3457	1.63E-08	24.4644	2.84E-06
ENSMUST00000228022.1	ENSMUST00000228022.1	1.01098	4.54509	2.93273	4.70023	7.85198	1.35437	3.75284	3.6651
ENSMUST00000140299.2	ENSMUST00000140299.2	4.52351	2.2275	1.92276	1.41429	1.69649	0.161965	2.07557	0.271774
ENSMUST00000079251.7	ENSMUST00000079251.7	7.34256	0.493065	4.34964	0.964101	1.96113	0.250161	0.691168	3.27958
ENSMUST00000029970.13	ENSMUST00000029970.13	17.2717	6.9417	9.8658	13.6677	17.3804	1.90245	6.78443	4.31747
ENSMUST00000163441.7	ENSMUST00000163441.7	19.0527	1.53582	10.0171	5.02332	8.21941	0.316179	0.905455	0.443822
ENSMUST00000046735.10	ENSMUST00000046735.10	50.1423	13.4749	22.9419	10.3687	26.6607	3.02684	7.8435	1.67268
ENSMUST00000029909.2	ENSMUST00000029909.2	6.94138	13.7334	3.13566	8.20134	7.54894	0.774554	13.3636	3.00924
ENSMUST00000044828.13	ENSMUST00000044828.13	3.84371	0.0730306	1.06382	1.18932	1.49849	0.143371	0.140019	1.35199
ENSMUST00000101388.3	ENSMUST00000101388.3	4.42969	1.1578	1.4839	0.83497	0.701893	0.0959183	0.963322	0.577566
ENSMUST00000116563.7	ENSMUST00000116563.7	5.13358	12.4103	3.53142	7.18756	5.69084	0.712762	8.74631	1.29446
ENSMUST00000102968.2	ENSMUST00000102968.2	0.715927	0.365807	0.471063	0.545453	0.716548	0.624308	0.200432	4.42986
ENSMUST00000045388.7	ENSMUST00000045388.7	6.46597	0.592735	1.91029	5.15655	6.46742	0.383683	0.388047	0.713092
ENSMUST00000007961.14	ENSMUST00000007961.14	2.37298	0.24204	0.147805	0.209336	0.139156	0.0266085	0.0437377	0.0182197
ENSMUST00000101343.1	ENSMUST00000101343.1	28.3633	0.944461	28.8978	11.7307	18.4468	0.536453	0.21371	1.58285
ENSMUST00000106478.8	ENSMUST00000106478.8	3.40334	5.84436	3.64662	4.16802	3.52958	0.539204	6.38106	1.75382
ENSMUST00000171460.7	ENSMUST00000171460.7	2.71058	0.295094	1.75784	9.00368	9.22531	0.929993	0.663615	2.76758
ENSMUST00000114136.8	ENSMUST00000114136.8	4.16521	0.67526	1.82996	2.68834	2.17013	0.990781	0.473149	1.15358
ENSMUST00000003310.6	ENSMUST00000003310.6	23.4376	6.62583	6.5296	6.20922	7.29923	1.0126	6.47918	2.58398
ENSMUST00000115393.2	ENSMUST00000115393.2	0.610414	0.977058	0.232125	0.0478839	0.0855163	0.287646	0.901879	6.90264
ENSMUST00000214810.1	ENSMUST00000214810.1	0.45767	0.162361	0.156301	0.406511	0.523778	0.233842	0.0831083	2.83752
ENSMUST00000109994.8	ENSMUST00000109994.8	3.64237	5.8989	1.51666	0.218659	0.614254	0.0647688	3.37774	0.760334
ENSMUST00000115812.9	ENSMUST00000115812.9	13.2797	5.06415	5.64953	2.50835	3.70506	0.288689	4.91921	1.81841
ENSMUST00000178385.8	ENSMUST00000178385.8	39.2203	49.7391	38.8964	23.038	24.9717	2.18127	64.2084	18.9823
ENSMUST00000091579.5	ENSMUST00000091579.5	24.1155	15.4981	26.6118	4.70199	6.85448	0.785709	13.0128	2.67551
ENSMUST00000019224.8	ENSMUST00000019224.8	3.96276	6.39848	4.45641	5.02915	6.53615	0.529004	5.77016	0.590362
ENSMUST00000107421.7	ENSMUST00000107421.7	11.3329	20.4196	16.7349	10.6251	9.4387	4.72119	19.7063	7.10685
ENSMUST00000076894.10	ENSMUST00000076894.10	19.0901	11.8529	13.9401	11.555	14.2748	1.21983	13.0861	4.1633
ENSMUST00000230724.1	ENSMUST00000230724.1	0.7867	0.162679	0.435824	10.4006	2.8155	1.59109	0.143784	1.13766
ENSMUST00000130778.1	ENSMUST00000130778.1	79.5159	5.86691	51.2936	46.369	78.0848	4.33553	11.0406	0.9047
ENSMUST00000070690.7	ENSMUST00000070690.7	6.82316	0.712247	6.39269	0.0285764	0.0355034	0.089211	0.480689	1.05519
ENSMUST00000010239.5	ENSMUST00000010239.5	91.4623	41.5774	62.0971	55.125	42.819	0.443078	13.0697	3.38575
ENSMUST00000130111.7	ENSMUST00000130111.7	1.30256	0.116362	2.9574	5.91551	3.93654	2.03676	0.512975	2.71048
ENSMUST00000108304.8	ENSMUST00000108304.8	12.696	1.76431	10.3502	10.5816	11.5627	0.00034981	1.28733	10.4832
ENSMUST00000013845.12	ENSMUST00000013845.12	148.939	277.817	116.914	89.1475	97.84	14.5312	239.705	20.427
ENSMUST00000162177.7	ENSMUST00000162177.7	24.2081	24.3415	29.9011	18.6367	23.3216	1.92702	20.9947	3.38274
ENSMUST00000162850.1	ENSMUST00000162850.1	5.51278	0.00108084	4.23041	6.4779	7.18561	3.31772	5.40537	3.47827
ENSMUST00000168406.3	ENSMUST00000168406.3	50.6978	4.15617	307.022	84.0422	91.5431	4.2064	0.925678	3.10916
ENSMUST00000107777.8	ENSMUST00000107777.8	5.6602	2.10094	4.79811	3.6826	4.40131	0.410266	0.515489	0.953986
ENSMUST00000032566.2	ENSMUST00000032566.2	7.81463	1.91431	8.00133	3.48334	3.31754	0.216424	1.02678	1.79902
ENSMUST00000168206.7	ENSMUST00000168206.7	65.7889	24.7564	71.1427	128.19	107.312	16.2788	13.835	13.2378
ENSMUST00000167449.1	ENSMUST00000167449.1	2.90188	1.40844	2.44856	2.13729	1.21506	0.0806298	0.211818	0.412243
ENSMUST00000163846.1	ENSMUST00000163846.1	38.0932	6.87121	10.4359	22.6538	15.0512	27.0049	4.19904	125.662
ENSMUST00000112238.8	ENSMUST00000112238.8	9.73176	3.51225	5.78979	5.26099	5.80951	0.510796	2.86142	1.66966
ENSMUST00000222759.1	ENSMUST00000222759.1	16.4061	3.22183	14.2781	8.61665	10.3982	0.285203	1.98102	0.824617
ENSMUST00000222993.1	ENSMUST00000222993.1	7.26871	3.53009	11.3492	9.90733	10.6185	0.63673	2.52132	1.47473
ENSMUST00000062740.14	ENSMUST00000062740.14	22.9437	4.87955	8.41617	9.484	16.2291	1.66865	4.8207	3.83364
ENSMUST00000098603.7	ENSMUST00000098603.7	6.37639	1.18849	0.235232	1.15144	1.2519	0.156094	0.799506	0.506438
ENSMUST00000199381.1	ENSMUST00000199381.1	1.77418	2.12039	2.15368	10.5865	10.3674	0.995298	2.25739	1.69003
ENSMUST00000185400.1	ENSMUST00000185400.1	14.1676	2.56576	39.6696	19.8108	21.5516	3.16036	3.66074	9.45369
ENSMUST00000190647.2	ENSMUST00000190647.2	1.39572	0.450374	1.92696	3.11855	2.37214	0.416334	0.281262	0.712167
ENSMUST00000182227.7	ENSMUST00000182227.7	1.08482	0.343621	2.70917	11.173	6.38772	5.92028	2.04568	33.6139
ENSMUST00000133257.7	ENSMUST00000133257.7	2.21869	4.05028	2.33893	1.70584	1.96223	0.164796	3.36598	0.307153
ENSMUST00000122106.7	ENSMUST00000122106.7	0.644006	2.10496	0.744742	5.30596	1.84821	0.0436702	1.05928	1.49315
ENSMUST00000079812.7	ENSMUST00000079812.7	31.9892	1.76902	14.5217	15.3053	19.4031	0.894559	1.22722	4.29359
ENSMUST00000198688.4	ENSMUST00000198688.4	32.4269	36.3124	58.0664	53.4039	47.2997	24.4113	27.9351	35.7051
ENSMUST00000176100.1	ENSMUST00000176100.1	3.98134	0.651213	1.38479	1.35522	2.76776	0.261257	0.67946	0.466137
ENSMUST00000069817.14	ENSMUST00000069817.14	11.6586	6.83082	3.50566	1.727	3.22609	0.781379	2.09084	0.616431
ENSMUST00000220579.1	ENSMUST00000220579.1	0.420648	4.48526	3.01222	10.8218	5.55794	0.41637	2.82308	8.02126
ENSMUST00000180843.1	ENSMUST00000180843.1	1.76724	0.605818	0.534126	0.414696	0.281339	0.119213	0.659709	9.15391
ENSMUST00000190641.6	ENSMUST00000190641.6	4.89275	2.80872	5.31062	1.02516	2.09837	0.125779	2.53574	0.560938
ENSMUST00000144525.1	ENSMUST00000144525.1	19.936	4.28365	5.83629	2.5727	1.82327	2.67085	1.87603	61.5804
ENSMUST00000030893.2	ENSMUST00000030893.2	2.82318	2.12576	2.91111	5.12581	4.39152	0.345642	1.26081	1.66374
ENSMUST00000219093.1	ENSMUST00000219093.1	3.06851	1.24217	1.39473	3.21671	2.44801	0.475659	1.14082	0.679408
ENSMUST00000112914.7	ENSMUST00000112914.7	7.85606	0.821958	5.21083	3.15E-09	2.04765	0.18019	1.09614	0.36546
ENSMUST00000156597.7	ENSMUST00000156597.7	5.6677	0.8214	8.8668	11.9924	15.8292	1.28125	1.55038	0.70298
ENSMUST00000047664.15	ENSMUST00000047664.15	1.27728	0.173088	1.13063	2.02694	2.13884	0.185407	0.0313698	0.0437442
ENSMUST00000032492.8	ENSMUST00000032492.8	471.889	29.4585	547.582	446.935	461.99	9.06543	30.9756	96.506
ENSMUST00000125995.7	ENSMUST00000125995.7	7.34E-08	2.24062	4.63086	3.71164	4.11639	1.32871	2.86737	1.78786
ENSMUST00000045288.13	ENSMUST00000045288.13	3.57153	5.95565	3.75966	1.77686	3.20841	0.184877	5.09994	2.31351
